Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes,W
Tue Nov 23 2021,7:30p,Los Angeles Lakers,100,New York Knicks,106,Box Score,,19812,,H
Tue Nov 23 2021,10:00p,Denver Nuggets,100,Portland Trail Blazers,119,Box Score,,17052,,H
Tue Nov 23 2021,10:30p,Dallas Mavericks,112,Los Angeles Clippers,104,Box Score,OT,17067,,V
Wed Nov 24 2021,7:00p,Phoenix Suns,120,Cleveland Cavaliers,115,Box Score,,18055,,V
Wed Nov 24 2021,7:00p,Los Angeles Lakers,124,Indiana Pacers,116,Box Score,OT,15572,,V
Wed Nov 24 2021,7:00p,Charlotte Hornets,106,Orlando Magic,99,Box Score,,16114,,V
Wed Nov 24 2021,7:30p,Brooklyn Nets,123,Boston Celtics,104,Box Score,,19156,,V
Wed Nov 24 2021,8:00p,Chicago Bulls,113,Houston Rockets,118,Box Score,,16074,,H
Wed Nov 24 2021,8:00p,Toronto Raptors,126,Memphis Grizzlies,113,Box Score,,15409,,V
Wed Nov 24 2021,8:00p,Detroit Pistons,93,Milwaukee Bucks,114,Box Score,,17341,,H
Wed Nov 24 2021,8:00p,Miami Heat,101,Minnesota Timberwolves,113,Box Score,,17136,,H
Wed Nov 24 2021,8:00p,Washington Wizards,102,New Orleans Pelicans,127,Box Score,,14659,,H
Wed Nov 24 2021,8:00p,Utah Jazz,110,Oklahoma City Thunder,104,Box Score,,14081,,V
Wed Nov 24 2021,8:30p,Atlanta Hawks,124,San Antonio Spurs,106,Box Score,,13161,,V
Wed Nov 24 2021,10:00p,Philadelphia 76ers,96,Golden State Warriors,116,Box Score,,18064,,H
Wed Nov 24 2021,10:00p,Portland Trail Blazers,121,Sacramento Kings,125,Box Score,,14997,,H
Fri Nov 26 2021,3:30p,Detroit Pistons,96,Los Angeles Clippers,107,Box Score,,18139,,H
Fri Nov 26 2021,7:00p,Minnesota Timberwolves,115,Charlotte Hornets,133,Box Score,,19314,,H
Fri Nov 26 2021,7:00p,Phoenix Suns,118,New York Knicks,97,Box Score,,19812,,V
Fri Nov 26 2021,7:00p,Chicago Bulls,123,Orlando Magic,88,Box Score,,18236,,V
Fri Nov 26 2021,8:00p,Toronto Raptors,97,Indiana Pacers,114,Box Score,,13508,,H
Fri Nov 26 2021,8:00p,Atlanta Hawks,132,Memphis Grizzlies,100,Box Score,,16622,,V
Fri Nov 26 2021,8:00p,Washington Wizards,101,Oklahoma City Thunder,99,Box Score,,14579,,V
Fri Nov 26 2021,8:30p,Boston Celtics,88,San Antonio Spurs,96,Box Score,,15360,,H
Fri Nov 26 2021,9:00p,Milwaukee Bucks,120,Denver Nuggets,109,Box Score,,19520,,V
Fri Nov 26 2021,9:00p,New Orleans Pelicans,98,Utah Jazz,97,Box Score,,18306,,V
Fri Nov 26 2021,10:00p,Portland Trail Blazers,103,Golden State Warriors,118,Box Score,,18064,,H
Fri Nov 26 2021,10:30p,Sacramento Kings,141,Los Angeles Lakers,137,Box Score,3OT,18997,,V
Sat Nov 27 2021,6:00p,Minnesota Timberwolves,121,Philadelphia 76ers,120,Box Score,2OT,21011,,H
Sat Nov 27 2021,7:30p,New York Knicks,99,Atlanta Hawks,90,Box Score,,17287,,V
Sat Nov 27 2021,7:30p,Phoenix Suns,113,Brooklyn Nets,107,Box Score,,18071,,V
Sat Nov 27 2021,8:00p,Miami Heat,107,Chicago Bulls,104,Box Score,,21110,,V
Sat Nov 27 2021,8:00p,Orlando Magic,92,Cleveland Cavaliers,105,Box Score,,18248,,H
Sat Nov 27 2021,8:00p,Charlotte Hornets,143,Houston Rockets,146,Box Score,OT,14687,,H
Sat Nov 27 2021,8:30p,Washington Wizards,120,Dallas Mavericks,114,Box Score,,20223,,V
Sat Nov 27 2021,9:00p,New Orleans Pelicans,105,Utah Jazz,127,Box Score,,18306,,H
Sun Nov 28 2021,3:30p,Golden State Warriors,105,Los Angeles Clippers,90,Box Score,,19068,,V
Sun Nov 28 2021,5:00p,Milwaukee Bucks,118,Indiana Pacers,100,Box Score,,13130,,V
Sun Nov 28 2021,6:00p,Sacramento Kings,101,Memphis Grizzlies,128,Box Score,,12844,,H
Sun Nov 28 2021,6:00p,Boston Celtics,109,Toronto Raptors,97,Box Score,,19800,,V
Sun Nov 28 2021,9:30p,Detroit Pistons,106,Los Angeles Lakers,110,Box Score,,18997,,H
Mon Nov 29 2021,7:00p,Orlando Magic,96,Philadelphia 76ers,101,Box Score,,20193,,H
Mon Nov 29 2021,7:30p,Denver Nuggets,120,Miami Heat,111,Box Score,,19600,,V
Mon Nov 29 2021,8:00p,Charlotte Hornets,119,Chicago Bulls,133,Box Score,,21366,,H
Mon Nov 29 2021,8:00p,Oklahoma City Thunder,89,Houston Rockets,102,Box Score,,12829,,H
Mon Nov 29 2021,8:00p,Indiana Pacers,98,Minnesota Timberwolves,100,Box Score,,14191,,H
Mon Nov 29 2021,8:30p,Cleveland Cavaliers,114,Dallas Mavericks,96,Box Score,,19229,,V
Mon Nov 29 2021,8:30p,Washington Wizards,99,San Antonio Spurs,116,Box Score,,12606,,H
Mon Nov 29 2021,9:00p,Portland Trail Blazers,107,Utah Jazz,129,Box Score,,18306,,H
Mon Nov 29 2021,10:30p,New Orleans Pelicans,123,Los Angeles Clippers,104,Box Score,,15691,,V
Tue Nov 30 2021,7:30p,New York Knicks,110,Brooklyn Nets,112,Box Score,,18081,,H
Tue Nov 30 2021,7:30p,Memphis Grizzlies,98,Toronto Raptors,91,Box Score,,19800,,V
Tue Nov 30 2021,10:00p,Golden State Warriors,96,Phoenix Suns,104,Box Score,,17071,,H
Tue Nov 30 2021,10:00p,Detroit Pistons,92,Portland Trail Blazers,110,Box Score,,16071,,H
Tue Nov 30 2021,10:00p,Los Angeles Lakers,117,Sacramento Kings,92,Box Score,,12459,,V
Wed Dec 1 2021,7:00p,Atlanta Hawks,114,Indiana Pacers,111,Box Score,,12656,,V
Wed Dec 1 2021,7:00p,Denver Nuggets,103,Orlando Magic,108,Box Score,,14191,,H
Wed Dec 1 2021,7:00p,Minnesota Timberwolves,107,Washington Wizards,115,Box Score,,15318,,H
Wed Dec 1 2021,7:30p,Philadelphia 76ers,87,Boston Celtics,88,Box Score,,19156,,H
Wed Dec 1 2021,7:30p,Cleveland Cavaliers,111,Miami Heat,85,Box Score,,19600,,V
Wed Dec 1 2021,8:00p,Charlotte Hornets,125,Milwaukee Bucks,127,Box Score,,17341,,H
Wed Dec 1 2021,8:00p,Dallas Mavericks,139,New Orleans Pelicans,107,Box Score,,15558,,V
Wed Dec 1 2021,8:00p,Houston Rockets,114,Oklahoma City Thunder,110,Box Score,,13222,,H
Wed Dec 1 2021,10:30p,Sacramento Kings,124,Los Angeles Clippers,115,Box Score,,17217,,V
Thu Dec 2 2021,7:30p,Chicago Bulls,119,New York Knicks,115,Box Score,,19812,,V
Thu Dec 2 2021,7:30p,Milwaukee Bucks,93,Toronto Raptors,97,Box Score,,19800,,H
Thu Dec 2 2021,8:00p,Oklahoma City Thunder,79,Memphis Grizzlies,152,Box Score,,13103,,H
Thu Dec 2 2021,9:00p,Detroit Pistons,103,Phoenix Suns,114,Box Score,,0,,H
Thu Dec 2 2021,10:00p,San Antonio Spurs,114,Portland Trail Blazers,83,Box Score,,16143,,V
Fri Dec 3 2021,7:00p,Miami Heat,113,Indiana Pacers,104,Box Score,,13854,,V
Fri Dec 3 2021,7:00p,Cleveland Cavaliers,116,Washington Wizards,101,Box Score,,17227,,V
Fri Dec 3 2021,7:30p,Philadelphia 76ers,98,Atlanta Hawks,96,Box Score,,17092,,V
Fri Dec 3 2021,7:30p,Minnesota Timberwolves,105,Brooklyn Nets,110,Box Score,,17732,,H
Fri Dec 3 2021,8:00p,Orlando Magic,116,Houston Rockets,118,Box Score,,13697,,H
Fri Dec 3 2021,8:30p,New Orleans Pelicans,107,Dallas Mavericks,91,Box Score,,19218,,V
Fri Dec 3 2021,9:00p,Boston Celtics,130,Utah Jazz,137,Box Score,,18306,,H
Fri Dec 3 2021,10:00p,Phoenix Suns,96,Golden State Warriors,118,Box Score,,18064,,H
Fri Dec 3 2021,10:00p,Los Angeles Clippers,119,Los Angeles Lakers,115,Box Score,,18997,,V
Sat Dec 4 2021,1:00p,Denver Nuggets,113,New York Knicks,99,Box Score,,18272,,V
Sat Dec 4 2021,8:00p,Chicago Bulls,111,Brooklyn Nets,107,Box Score,,18116,,V
Sat Dec 4 2021,8:00p,Miami Heat,102,Milwaukee Bucks,124,Box Score,,17341,,H
Sat Dec 4 2021,8:30p,Memphis Grizzlies,97,Dallas Mavericks,90,Box Score,,19396,,V
Sat Dec 4 2021,8:30p,San Antonio Spurs,112,Golden State Warriors,107,Box Score,,18064,,V
Sat Dec 4 2021,10:00p,Boston Celtics,145,Portland Trail Blazers,117,Box Score,,18193,,V
Sat Dec 4 2021,10:00p,Los Angeles Clippers,99,Sacramento Kings,104,Box Score,,15004,,H
Sun Dec 5 2021,3:30p,Utah Jazz,109,Cleveland Cavaliers,108,Box Score,,18113,,V
Sun Dec 5 2021,6:00p,Charlotte Hornets,130,Atlanta Hawks,127,Box Score,,16383,,V
Sun Dec 5 2021,6:00p,Washington Wizards,90,Toronto Raptors,102,Box Score,,19800,,H
Sun Dec 5 2021,7:00p,New Orleans Pelicans,108,Houston Rockets,118,Box Score,,14771,,H
Mon Dec 6 2021,7:00p,Philadelphia 76ers,,Charlotte Hornets,,,,,
Mon Dec 6 2021,7:00p,Oklahoma City Thunder,,Detroit Pistons,,,,,
Mon Dec 6 2021,7:00p,Washington Wizards,,Indiana Pacers,,,,,
Mon Dec 6 2021,7:30p,Memphis Grizzlies,,Miami Heat,,,,,
Mon Dec 6 2021,8:00p,Denver Nuggets,,Chicago Bulls,,,,,
Mon Dec 6 2021,8:00p,Cleveland Cavaliers,,Milwaukee Bucks,,,,,
Mon Dec 6 2021,8:00p,Atlanta Hawks,,Minnesota Timberwolves,,,,,
Mon Dec 6 2021,9:00p,San Antonio Spurs,,Phoenix Suns,,,,,
Mon Dec 6 2021,10:00p,Orlando Magic,,Golden State Warriors,,,,,
Mon Dec 6 2021,10:00p,Los Angeles Clippers,,Portland Trail Blazers,,,,,
Tue Dec 7 2021,7:30p,Brooklyn Nets,,Dallas Mavericks,,,,,
Tue Dec 7 2021,8:30p,New York Knicks,,San Antonio Spurs,,,,,
Tue Dec 7 2021,10:00p,Boston Celtics,,Los Angeles Lakers,,,,,
Wed Dec 8 2021,7:00p,Philadelphia 76ers,,Charlotte Hornets,,,,,
Wed Dec 8 2021,7:00p,Chicago Bulls,,Cleveland Cavaliers,,,,,
Wed Dec 8 2021,7:00p,Washington Wizards,,Detroit Pistons,,,,,
Wed Dec 8 2021,7:00p,New York Knicks,,Indiana Pacers,,,,,
Wed Dec 8 2021,7:30p,Milwaukee Bucks,,Miami Heat,,,,,
Wed Dec 8 2021,7:30p,Oklahoma City Thunder,,Toronto Raptors,,,,,
Wed Dec 8 2021,8:00p,Brooklyn Nets,,Houston Rockets,,,,,
Wed Dec 8 2021,8:00p,Dallas Mavericks,,Memphis Grizzlies,,,,,
Wed Dec 8 2021,8:00p,Utah Jazz,,Minnesota Timberwolves,,,,,
Wed Dec 8 2021,8:00p,Denver Nuggets,,New Orleans Pelicans,,,,,
Wed Dec 8 2021,10:00p,Portland Trail Blazers,,Golden State Warriors,,,,,
Wed Dec 8 2021,10:00p,Orlando Magic,,Sacramento Kings,,,,,
Wed Dec 8 2021,10:30p,Boston Celtics,,Los Angeles Clippers,,,,,
Thu Dec 9 2021,7:00p,Utah Jazz,,Philadelphia 76ers,,,,,
Thu Dec 9 2021,8:00p,Los Angeles Lakers,,Memphis Grizzlies,,,,,
Thu Dec 9 2021,8:30p,Denver Nuggets,,San Antonio Spurs,,,,,
Fri Dec 10 2021,7:00p,Sacramento Kings,,Charlotte Hornets,,,,,
Fri Dec 10 2021,7:00p,Dallas Mavericks,,Indiana Pacers,,,,,
Fri Dec 10 2021,7:30p,Brooklyn Nets,,Atlanta Hawks,,,,,
Fri Dec 10 2021,7:30p,New York Knicks,,Toronto Raptors,,,,,
Fri Dec 10 2021,8:00p,Milwaukee Bucks,,Houston Rockets,,,,,
Fri Dec 10 2021,8:00p,Cleveland Cavaliers,,Minnesota Timberwolves,,,,,
Fri Dec 10 2021,8:00p,Detroit Pistons,,New Orleans Pelicans,,,,,
Fri Dec 10 2021,8:00p,Los Angeles Lakers,,Oklahoma City Thunder,,,,,
Fri Dec 10 2021,10:00p,Boston Celtics,,Phoenix Suns,,,,,
Sat Dec 11 2021,3:30p,Orlando Magic,,Los Angeles Clippers,,,,,
Sat Dec 11 2021,7:00p,Utah Jazz,,Washington Wizards,,,,,
Sat Dec 11 2021,8:00p,Sacramento Kings,,Cleveland Cavaliers,,,,,
Sat Dec 11 2021,8:00p,Houston Rockets,,Memphis Grizzlies,,,,,
Sat Dec 11 2021,8:00p,Chicago Bulls,,Miami Heat,,,,,
Sat Dec 11 2021,8:30p,Golden State Warriors,,Philadelphia 76ers,,,,,
Sat Dec 11 2021,8:30p,Denver Nuggets,,San Antonio Spurs,,,,,
Sun Dec 12 2021,12:00p,Milwaukee Bucks,,New York Knicks,,,,,
Sun Dec 12 2021,6:00p,Brooklyn Nets,,Detroit Pistons,,,,,
Sun Dec 12 2021,7:00p,Dallas Mavericks,,Oklahoma City Thunder,,,,,
Sun Dec 12 2021,7:00p,New Orleans Pelicans,,San Antonio Spurs,,,,,
Sun Dec 12 2021,9:00p,Minnesota Timberwolves,,Portland Trail Blazers,,,,,
Sun Dec 12 2021,9:30p,Orlando Magic,,Los Angeles Lakers,,,,,
Mon Dec 13 2021,7:00p,Miami Heat,,Cleveland Cavaliers,,,,,
Mon Dec 13 2021,7:00p,Golden State Warriors,,Indiana Pacers,,,,,
Mon Dec 13 2021,7:00p,Sacramento Kings,,Toronto Raptors,,,,,
Mon Dec 13 2021,7:30p,Houston Rockets,,Atlanta Hawks,,,,,
Mon Dec 13 2021,7:30p,Milwaukee Bucks,,Boston Celtics,,,,,
Mon Dec 13 2021,8:00p,Philadelphia 76ers,,Memphis Grizzlies,,,,,
Mon Dec 13 2021,8:30p,Charlotte Hornets,,Dallas Mavericks,,,,,
Mon Dec 13 2021,9:00p,Washington Wizards,,Denver Nuggets,,,,,
Mon Dec 13 2021,10:30p,Phoenix Suns,,Los Angeles Clippers,,,,,
Tue Dec 14 2021,7:30p,Toronto Raptors,,Brooklyn Nets,,,,,
Tue Dec 14 2021,7:30p,Golden State Warriors,,New York Knicks,,,,,
Tue Dec 14 2021,8:00p,Detroit Pistons,,Chicago Bulls,,,,,
Tue Dec 14 2021,10:00p,Phoenix Suns,,Portland Trail Blazers,,,,,
Wed Dec 15 2021,7:00p,Houston Rockets,,Cleveland Cavaliers,,,,,
Wed Dec 15 2021,7:00p,Atlanta Hawks,,Orlando Magic,,,,,
Wed Dec 15 2021,7:00p,Miami Heat,,Philadelphia 76ers,,,,,
Wed Dec 15 2021,7:30p,Los Angeles Lakers,,Dallas Mavericks,,,,,
Wed Dec 15 2021,8:00p,Indiana Pacers,,Milwaukee Bucks,,,,,
Wed Dec 15 2021,8:00p,New Orleans Pelicans,,Oklahoma City Thunder,,,,,
Wed Dec 15 2021,8:30p,Charlotte Hornets,,San Antonio Spurs,,,,,
Wed Dec 15 2021,9:00p,Minnesota Timberwolves,,Denver Nuggets,,,,,
Wed Dec 15 2021,10:00p,Memphis Grizzlies,,Portland Trail Blazers,,,,,
Wed Dec 15 2021,10:00p,Washington Wizards,,Sacramento Kings,,,,,
Wed Dec 15 2021,10:00p,Los Angeles Clippers,,Utah Jazz,,,,,
Thu Dec 16 2021,7:00p,Detroit Pistons,,Indiana Pacers,,,,,
Thu Dec 16 2021,7:30p,Philadelphia 76ers,,Brooklyn Nets,,,,,
Thu Dec 16 2021,7:30p,Chicago Bulls,,Toronto Raptors,,,,,
Thu Dec 16 2021,8:00p,New York Knicks,,Houston Rockets,,,,,
Thu Dec 16 2021,9:00p,Washington Wizards,,Phoenix Suns,,,,,
Fri Dec 17 2021,7:00p,Miami Heat,,Orlando Magic,,,,,
Fri Dec 17 2021,7:30p,Denver Nuggets,,Atlanta Hawks,,,,,
Fri Dec 17 2021,7:30p,Golden State Warriors,,Boston Celtics,,,,,
Fri Dec 17 2021,8:00p,Los Angeles Lakers,,Minnesota Timberwolves,,,,,
Fri Dec 17 2021,9:00p,San Antonio Spurs,,Utah Jazz,,,,,
Fri Dec 17 2021,10:00p,Milwaukee Bucks,,New Orleans Pelicans,,,,,
Fri Dec 17 2021,10:00p,Charlotte Hornets,,Portland Trail Blazers,,,,,
Fri Dec 17 2021,10:00p,Memphis Grizzlies,,Sacramento Kings,,,,,
Sat Dec 18 2021,12:00p,Houston Rockets,,Detroit Pistons,,,,,
Sat Dec 18 2021,7:30p,Orlando Magic,,Brooklyn Nets,,,,,
Sat Dec 18 2021,7:30p,Golden State Warriors,,Toronto Raptors,,,,,
Sat Dec 18 2021,8:00p,Los Angeles Clippers,,Oklahoma City Thunder,,,,,
Sat Dec 18 2021,8:30p,New York Knicks,,Boston Celtics,,,,,
Sat Dec 18 2021,9:00p,Cleveland Cavaliers,,Milwaukee Bucks,,,,,
Sat Dec 18 2021,9:00p,Washington Wizards,,Utah Jazz,,,,,
Sun Dec 19 2021,3:30p,Los Angeles Lakers,,Chicago Bulls,,,,,
Sun Dec 19 2021,6:00p,Miami Heat,,Detroit Pistons,,,,,
Sun Dec 19 2021,6:00p,Portland Trail Blazers,,Memphis Grizzlies,,,,,
Sun Dec 19 2021,6:00p,San Antonio Spurs,,Sacramento Kings,,,,,
Sun Dec 19 2021,7:30p,Cleveland Cavaliers,,Atlanta Hawks,,,,,
Sun Dec 19 2021,7:30p,Denver Nuggets,,Brooklyn Nets,,,,,
Sun Dec 19 2021,8:00p,Dallas Mavericks,,Minnesota Timberwolves,,,,,
Sun Dec 19 2021,8:00p,New Orleans Pelicans,,Philadelphia 76ers,,,,,
Sun Dec 19 2021,8:00p,Charlotte Hornets,,Phoenix Suns,,,,,
Mon Dec 20 2021,7:30p,Philadelphia 76ers,,Boston Celtics,,,,,
Mon Dec 20 2021,7:30p,Orlando Magic,,Toronto Raptors,,,,,
Mon Dec 20 2021,8:00p,Houston Rockets,,Chicago Bulls,,,,,
Mon Dec 20 2021,8:00p,Oklahoma City Thunder,,Memphis Grizzlies,,,,,
Mon Dec 20 2021,9:00p,Charlotte Hornets,,Utah Jazz,,,,,
Mon Dec 20 2021,10:00p,Sacramento Kings,,Golden State Warriors,,,,,
Mon Dec 20 2021,10:30p,San Antonio Spurs,,Los Angeles Clippers,,,,,
Tue Dec 21 2021,7:30p,Washington Wizards,,Brooklyn Nets,,,,,
Tue Dec 21 2021,7:30p,Indiana Pacers,,Miami Heat,,,,,
Tue Dec 21 2021,7:30p,Detroit Pistons,,New York Knicks,,,,,
Tue Dec 21 2021,8:00p,Portland Trail Blazers,,New Orleans Pelicans,,,,,
Tue Dec 21 2021,8:30p,Minnesota Timberwolves,,Dallas Mavericks,,,,,
Tue Dec 21 2021,10:00p,Phoenix Suns,,Los Angeles Lakers,,,,,
Wed Dec 22 2021,7:30p,Orlando Magic,,Atlanta Hawks,,,,,
Wed Dec 22 2021,7:30p,Cleveland Cavaliers,,Boston Celtics,,,,,
Wed Dec 22 2021,8:00p,Toronto Raptors,,Chicago Bulls,,,,,
Wed Dec 22 2021,8:00p,Houston Rockets,,Milwaukee Bucks,,,,,
Wed Dec 22 2021,8:00p,Denver Nuggets,,Oklahoma City Thunder,,,,,
Wed Dec 22 2021,10:00p,Los Angeles Clippers,,Sacramento Kings,,,,,
Thu Dec 23 2021,7:00p,Houston Rockets,,Indiana Pacers,,,,,
Thu Dec 23 2021,7:00p,New Orleans Pelicans,,Orlando Magic,,,,,
Thu Dec 23 2021,7:00p,Atlanta Hawks,,Philadelphia 76ers,,,,,
Thu Dec 23 2021,7:30p,Detroit Pistons,,Miami Heat,,,,,
Thu Dec 23 2021,7:30p,Washington Wizards,,New York Knicks,,,,,
Thu Dec 23 2021,8:30p,Milwaukee Bucks,,Dallas Mavericks,,,,,
Thu Dec 23 2021,9:00p,Charlotte Hornets,,Denver Nuggets,,,,,
Thu Dec 23 2021,9:00p,Oklahoma City Thunder,,Phoenix Suns,,,,,
Thu Dec 23 2021,9:00p,Minnesota Timberwolves,,Utah Jazz,,,,,
Thu Dec 23 2021,10:00p,Memphis Grizzlies,,Golden State Warriors,,,,,
Thu Dec 23 2021,10:00p,Brooklyn Nets,,Portland Trail Blazers,,,,,
Thu Dec 23 2021,10:30p,San Antonio Spurs,,Los Angeles Lakers,,,,,
Sat Dec 25 2021,12:00p,Atlanta Hawks,,New York Knicks,,,,,
Sat Dec 25 2021,2:30p,Boston Celtics,,Milwaukee Bucks,,,,,
Sat Dec 25 2021,5:00p,Golden State Warriors,,Phoenix Suns,,,,,
Sat Dec 25 2021,8:00p,Brooklyn Nets,,Los Angeles Lakers,,,,,
Sat Dec 25 2021,10:30p,Dallas Mavericks,,Utah Jazz,,,,,
Sun Dec 26 2021,3:30p,Orlando Magic,,Miami Heat,,,,,
Sun Dec 26 2021,6:00p,Toronto Raptors,,Cleveland Cavaliers,,,,,
Sun Dec 26 2021,6:00p,Memphis Grizzlies,,Sacramento Kings,,,,,
Sun Dec 26 2021,6:00p,Philadelphia 76ers,,Washington Wizards,,,,,
Sun Dec 26 2021,7:00p,New Orleans Pelicans,,Oklahoma City Thunder,,,,,
Sun Dec 26 2021,7:00p,Detroit Pistons,,San Antonio Spurs,,,,,
Sun Dec 26 2021,8:00p,Indiana Pacers,,Chicago Bulls,,,,,
Sun Dec 26 2021,9:00p,Denver Nuggets,,Los Angeles Clippers,,,,,
Mon Dec 27 2021,7:00p,Houston Rockets,,Charlotte Hornets,,,,,
Mon Dec 27 2021,7:30p,Chicago Bulls,,Atlanta Hawks,,,,,
Mon Dec 27 2021,8:00p,Boston Celtics,,Minnesota Timberwolves,,,,,
Mon Dec 27 2021,8:30p,Utah Jazz,,San Antonio Spurs,,,,,
Mon Dec 27 2021,9:00p,Memphis Grizzlies,,Phoenix Suns,,,,,
Mon Dec 27 2021,10:00p,Dallas Mavericks,,Portland Trail Blazers,,,,,
Mon Dec 27 2021,10:30p,Brooklyn Nets,,Los Angeles Clippers,,,,,
Tue Dec 28 2021,7:00p,Milwaukee Bucks,,Orlando Magic,,,,,
Tue Dec 28 2021,7:30p,Washington Wizards,,Miami Heat,,,,,
Tue Dec 28 2021,7:30p,Philadelphia 76ers,,Toronto Raptors,,,,,
Tue Dec 28 2021,8:00p,Los Angeles Lakers,,Houston Rockets,,,,,
Tue Dec 28 2021,8:00p,New York Knicks,,Minnesota Timberwolves,,,,,
Tue Dec 28 2021,8:00p,Cleveland Cavaliers,,New Orleans Pelicans,,,,,
Tue Dec 28 2021,10:00p,Denver Nuggets,,Golden State Warriors,,,,,
Tue Dec 28 2021,10:00p,Oklahoma City Thunder,,Sacramento Kings,,,,,
Wed Dec 29 2021,7:00p,New York Knicks,,Detroit Pistons,,,,,
Wed Dec 29 2021,7:00p,Charlotte Hornets,,Indiana Pacers,,,,,
Wed Dec 29 2021,7:30p,Los Angeles Clippers,,Boston Celtics,,,,,
Wed Dec 29 2021,8:00p,Atlanta Hawks,,Chicago Bulls,,,,,
Wed Dec 29 2021,8:00p,Los Angeles Lakers,,Memphis Grizzlies,,,,,
Wed Dec 29 2021,8:30p,Miami Heat,,San Antonio Spurs,,,,,
Wed Dec 29 2021,9:00p,Oklahoma City Thunder,,Phoenix Suns,,,,,
Wed Dec 29 2021,10:00p,Utah Jazz,,Portland Trail Blazers,,,,,
Wed Dec 29 2021,10:30p,Dallas Mavericks,,Sacramento Kings,,,,,
Thu Dec 30 2021,7:00p,Philadelphia 76ers,,Brooklyn Nets,,,,,
Thu Dec 30 2021,7:00p,Milwaukee Bucks,,Orlando Magic,,,,,
Thu Dec 30 2021,7:00p,Cleveland Cavaliers,,Washington Wizards,,,,,
Thu Dec 30 2021,9:30p,Golden State Warriors,,Denver Nuggets,,,,,
Fri Dec 31 2021,1:00p,Phoenix Suns,,Boston Celtics,,,,,
Fri Dec 31 2021,3:00p,Chicago Bulls,,Indiana Pacers,,,,,
Fri Dec 31 2021,6:00p,Dallas Mavericks,,Sacramento Kings,,,,,
Fri Dec 31 2021,7:00p,Miami Heat,,Houston Rockets,,,,,
Fri Dec 31 2021,7:30p,Atlanta Hawks,,Cleveland Cavaliers,,,,,
Fri Dec 31 2021,7:30p,Los Angeles Clippers,,Toronto Raptors,,,,,
Fri Dec 31 2021,8:00p,San Antonio Spurs,,Memphis Grizzlies,,,,,
Fri Dec 31 2021,8:00p,New York Knicks,,Oklahoma City Thunder,,,,,
Fri Dec 31 2021,9:00p,Minnesota Timberwolves,,Utah Jazz,,,,,
Fri Dec 31 2021,10:30p,Portland Trail Blazers,,Los Angeles Lakers,,,,,
Sat Jan 1 2022,6:30p,New Orleans Pelicans,,Milwaukee Bucks,,,,,
Sat Jan 1 2022,7:00p,San Antonio Spurs,,Detroit Pistons,,,,,
Sat Jan 1 2022,7:00p,Chicago Bulls,,Washington Wizards,,,,,
Sat Jan 1 2022,7:30p,Los Angeles Clippers,,Brooklyn Nets,,,,,
Sat Jan 1 2022,8:00p,Denver Nuggets,,Houston Rockets,,,,,
Sat Jan 1 2022,9:00p,Golden State Warriors,,Utah Jazz,,,,,
Sun Jan 2 2022,3:30p,New York Knicks,,Toronto Raptors,,,,,
Sun Jan 2 2022,6:00p,Orlando Magic,,Boston Celtics,,,,,
Sun Jan 2 2022,6:00p,Indiana Pacers,,Cleveland Cavaliers,,,,,
Sun Jan 2 2022,6:00p,Miami Heat,,Sacramento Kings,,,,,
Sun Jan 2 2022,7:00p,Phoenix Suns,,Charlotte Hornets,,,,,
Sun Jan 2 2022,7:00p,Dallas Mavericks,,Oklahoma City Thunder,,,,,
Sun Jan 2 2022,9:30p,Minnesota Timberwolves,,Los Angeles Lakers,,,,,
Mon Jan 3 2022,7:00p,Houston Rockets,,Philadelphia 76ers,,,,,
Mon Jan 3 2022,7:00p,Charlotte Hornets,,Washington Wizards,,,,,
Mon Jan 3 2022,7:30p,Memphis Grizzlies,,Brooklyn Nets,,,,,
Mon Jan 3 2022,8:00p,Orlando Magic,,Chicago Bulls,,,,,
Mon Jan 3 2022,8:00p,Detroit Pistons,,Milwaukee Bucks,,,,,
Mon Jan 3 2022,8:00p,Utah Jazz,,New Orleans Pelicans,,,,,
Mon Jan 3 2022,8:30p,Denver Nuggets,,Dallas Mavericks,,,,,
Mon Jan 3 2022,10:00p,Miami Heat,,Golden State Warriors,,,,,
Mon Jan 3 2022,10:00p,Atlanta Hawks,,Portland Trail Blazers,,,,,
Mon Jan 3 2022,10:30p,Minnesota Timberwolves,,Los Angeles Clippers,,,,,
Tue Jan 4 2022,7:00p,Memphis Grizzlies,,Cleveland Cavaliers,,,,,
Tue Jan 4 2022,7:00p,San Antonio Spurs,,Toronto Raptors,,,,,
Tue Jan 4 2022,7:30p,Indiana Pacers,,New York Knicks,,,,,
Tue Jan 4 2022,8:00p,Phoenix Suns,,New Orleans Pelicans,,,,,
Tue Jan 4 2022,10:30p,Sacramento Kings,,Los Angeles Lakers,,,,,
Wed Jan 5 2022,7:00p,Detroit Pistons,,Charlotte Hornets,,,,,
Wed Jan 5 2022,7:00p,Philadelphia 76ers,,Orlando Magic,,,,,
Wed Jan 5 2022,7:00p,Houston Rockets,,Washington Wizards,,,,,
Wed Jan 5 2022,7:30p,San Antonio Spurs,,Boston Celtics,,,,,
Wed Jan 5 2022,7:30p,Golden State Warriors,,Dallas Mavericks,,,,,
